groupID,flightRef,key,class,requirements,preferences
1j5,EMB-ALLSEATED,A,1,,A
1j5,EMB-ALLSEATED,A,1,,A
1j5,EMB-ALLSEATED,A,1,,W
1j5,EMB-ALLSEATED,A,1,,W
1o2,EMB-ALLSEATED,C,1,X,W
1o2,EMB-ALLSEATED,C,1,X,A
1o2,EMB-ALLSEATED,A,1,X,A
2y0,EMB-ALLSEATED,A,2,,A
2u0,EMB-ALLSEATED,A,2,,W
3g9,EMB-ALLSEATED,A,3,,A
3g9,EMB-ALLSEATED,A,3,,A
3g9,EMB-ALLSEATED,A,3,,A
3g9,EMB-ALLSEATED,A,3,,A
2a8,EMB-ALLSEATED,C,2,,A
2a8,EMB-ALLSEATED,A,2,,A
2a8,EMB-ALLSEATED,A,2,,A
2a8,EMB-ALLSEATED,A,2,,A
2a8,EMB-ALLSEATED,A,2,,A
3g9,EMB-ALLSEATED,C,3,,A
3c6,EMB-ALLSEATED,A,3,X,W
3c6,EMB-ALLSEATED,C,3,X,A
3v4,EMB-ALLSEATED,A,3,,W
3v4,EMB-ALLSEATED,A,3,,A
3v4,EMB-ALLSEATED,A,3,,W
4o2,EMB-ALLSEATED,A,4,,W
4o2,EMB-ALLSEATED,A,4,,W
4o2,EMB-ALLSEATED,A,4,,W
4o2,EMB-ALLSEATED,A,4,,A
4o2,EMB-ALLSEATED,A,4,,A
5w3,EMB-ALLSEATED,C,5,X,W
5w3,EMB-ALLSEATED,A,5,X,W
5w3,EMB-ALLSEATED,A,5,X,W
5w3,EMB-ALLSEATED,C,5,X,A
5o7,EMB-ALLSEATED,A,5,,A
5o7,EMB-ALLSEATED,C,5,,A
5o7,EMB-ALLSEATED,A,5,,W
5o7,EMB-ALLSEATED,A,5,,A
5z9,EMB-ALLSEATED,A,5,,W
5z9,EMB-ALLSEATED,A,5,,A
5p3,EMB-ALLSEATED,A,5,X,A
5p3,EMB-ALLSEATED,C,5,X,A
5u8,EMB-ALLSEATED,C,5,X,A
5u8,EMB-ALLSEATED,C,5,X,A
5u8,EMB-ALLSEATED,C,5,X,A
5u8,EMB-ALLSEATED,A,5,X,W
5p8,EMB-ALLSEATED,C,5,X,A
5a0,EMB-ALLSEATED,A,5,,A
5a0,EMB-ALLSEATED,A,5,,A
5a0,EMB-ALLSEATED,C,5,,W
5a0,EMB-ALLSEATED,A,5,,W
5c0,EMB-ALLSEATED,A,5,,W
5c0,EMB-ALLSEATED,A,5,,W
5c0,EMB-ALLSEATED,A,5,,A
5c0,EMB-ALLSEATED,C,5,,W
