groupID,flightRef,key,class,requirements,preferences
1j5,5-1UP1DOWN-S,A,1,,A
1j5,5-1UP1DOWN-S,A,1,,A
1j5,5-1UP1DOWN-S,A,1,,W
1j5,5-1UP1DOWN-S,A,1,,W
1o2,5-1UP1DOWN-S,C,1,X,W
1o2,5-1UP1DOWN-S,C,1,X,A
1o2,5-1UP1DOWN-S,A,1,X,A
2y0,5-1UP1DOWN-S,A,2,,A
2u0,5-1UP1DOWN-S,A,2,,W
3g9,5-1UP1DOWN-S,A,3,,A
3g9,5-1UP1DOWN-S,A,3,,A
3g9,5-1UP1DOWN-S,A,3,,A
3g9,5-1UP1DOWN-S,A,3,,A
2a8,5-1UP1DOWN-S,C,2,,A
2a8,5-1UP1DOWN-S,A,2,,A
2a8,5-1UP1DOWN-S,A,2,,A
2a8,5-1UP1DOWN-S,A,2,,A
2a8,5-1UP1DOWN-S,A,2,,A
3g9,5-1UP1DOWN-S,C,3,,A
3c6,5-1UP1DOWN-S,A,3,X,W
3c6,5-1UP1DOWN-S,C,3,X,A
3v4,5-1UP1DOWN-S,A,3,,W
3v4,5-1UP1DOWN-S,A,3,,A
3v4,5-1UP1DOWN-S,A,3,,W
4o2,5-1UP1DOWN-S,A,4,,W
4o2,5-1UP1DOWN-S,A,4,,W
4o2,5-1UP1DOWN-S,A,4,,W
4o2,5-1UP1DOWN-S,A,4,,A
4o2,5-1UP1DOWN-S,A,4,,A
5w3,5-1UP1DOWN-S,C,5,X,W
5w3,5-1UP1DOWN-S,A,5,X,W
5w3,5-1UP1DOWN-S,A,5,X,W
5w3,5-1UP1DOWN-S,C,5,X,A
5o7,5-1UP1DOWN-S,A,5,,A
5o7,5-1UP1DOWN-S,C,5,,A
5o7,5-1UP1DOWN-S,A,5,,W
5o7,5-1UP1DOWN-S,A,5,,A
5z9,5-1UP1DOWN-S,A,5,,W
5z9,5-1UP1DOWN-S,A,5,,A
5p3,5-1UP1DOWN-S,A,5,X,A
5p3,5-1UP1DOWN-S,C,5,X,A
5u8,5-1UP1DOWN-S,C,5,X,A
5u8,5-1UP1DOWN-S,C,5,X,A
5u8,5-1UP1DOWN-S,C,5,X,A
5u8,5-1UP1DOWN-S,A,5,X,W
5p8,5-1UP1DOWN-S,C,5,X,A
5a0,5-1UP1DOWN-S,A,5,,A
5a0,5-1UP1DOWN-S,A,5,,A
5a0,5-1UP1DOWN-S,C,5,,W
5a0,5-1UP1DOWN-S,A,5,,W
5c0,5-1UP1DOWN-S,A,5,,W
5c0,5-1UP1DOWN-S,A,5,,W
5c0,5-1UP1DOWN-S,A,5,,A
5c0,5-1UP1DOWN-S,C,5,,W
