groupID,flightRef,key,class,splitable,preferences
21j5,54P-4BigParty,A,1,,A
21j5,54P-4BigParty,A,1,,A
21j5,54P-4BigParty,A,1,,W
21j5,54P-4BigParty,A,1,,W
22o2,54P-4BigParty,C,2,X,W
22o2,54P-4BigParty,C,2,X,A
22o2,54P-4BigParty,A,2,X,A
22y0,54P-4BigParty,A,2,,A
22u0,54P-4BigParty,A,2,,W
24BI,54P-4BigParty,A,4,,A
24BI,54P-4BigParty,A,4,,A
24BI,54P-4BigParty,A,4,,A
24BI,54P-4BigParty,A,4,,A
22a8,54P-4BigParty,C,2,,A
22a8,54P-4BigParty,A,2,,A
22a8,54P-4BigParty,A,2,,A
22a8,54P-4BigParty,A,2,,A
22a8,54P-4BigParty,A,2,,A
23g9,54P-4BigParty,C,3,,A
23c6,54P-4BigParty,A,3,X,W
23c6,54P-4BigParty,C,3,X,A
23v4,54P-4BigParty,A,3,,W
23v4,54P-4BigParty,A,3,,A
23v4,54P-4BigParty,A,3,,W
24BI,54P-4BigParty,A,4,,W
24BI,54P-4BigParty,A,4,,W
24BI,54P-4BigParty,A,4,,W
24BI,54P-4BigParty,A,4,,A
24BI,54P-4BigParty,A,4,,A
25w3,54P-4BigParty,C,5,X,W
25w3,54P-4BigParty,A,5,X,W
25w3,54P-4BigParty,A,5,X,W
25w3,54P-4BigParty,C,5,X,A
25o7,54P-4BigParty,A,5,,A
25o7,54P-4BigParty,C,5,,A
25o7,54P-4BigParty,A,5,,W
25o7,54P-4BigParty,A,5,,A
25z9,54P-4BigParty,A,5,,W
25z9,54P-4BigParty,A,5,,A
25p3,54P-4BigParty,A,5,X,A
25p3,54P-4BigParty,C,5,X,A
25u8,54P-4BigParty,C,5,X,A
25u8,54P-4BigParty,C,5,X,A
25u8,54P-4BigParty,C,5,X,A
25u8,54P-4BigParty,A,5,X,W
25p8,54P-4BigParty,C,5,X,A
25a0,54P-4BigParty,A,5,,A
25a0,54P-4BigParty,A,5,,A
25a0,54P-4BigParty,C,5,,W
24BI,54P-4BigParty,A,4,,W
24BI,54P-4BigParty,A,4,,W
24BI,54P-4BigParty,A,4,,W
24BI,54P-4BigParty,A,4,,A
24BI,54P-4BigParty,C,4,,W
