groupID,flightRef,key,class,requirements,preferences
41j5,54P-53UP,A,1,,A
41j5,54P-53UP,A,1,,A
41j5,54P-53UP,A,1,,W
41j5,54P-53UP,A,1,,W
42o2,54P-53UP,C,2,X,W
42o2,54P-53UP,C,2,X,A
42o2,54P-53UP,A,2,X,A
42y0,54P-53UP,A,2,,A
42u0,54P-53UP,A,2,,W
43g9,54P-53UP,A,3,,A
43g9,54P-53UP,A,3,,A
43g9,54P-53UP,A,3,,A
43g9,54P-53UP,A,3,,A
43h8,54P-53UP,C,3,,A
43h8,54P-53UP,A,3,,A
43h8,54P-53UP,A,3,,A
43h8,54P-53UP,A,3,,A
43h8,54P-53UP,A,3,,A
43g9,54P-53UP,C,3,,A
43c6,54P-53UP,A,3,X,W
43c6,54P-53UP,C,3,X,A
43v4,54P-53UP,A,3,,W
43v4,54P-53UP,A,3,,A
43v4,54P-53UP,A,3,,W
44o2,54P-53UP,A,4,,W
44o2,54P-53UP,A,4,,W
44o2,54P-53UP,A,4,,W
44o2,54P-53UP,A,4,,A
44o2,54P-53UP,A,4,,A
45w3,54P-53UP,C,5,X,W
45w3,54P-53UP,A,5,X,W
45w3,54P-53UP,A,5,X,W
45w3,54P-53UP,C,5,X,A
45o7,54P-53UP,A,5,,A
45o7,54P-53UP,C,5,,A
45o7,54P-53UP,A,5,,W
45o7,54P-53UP,A,5,,A
45z9,54P-53UP,A,5,,W
45z9,54P-53UP,A,5,,A
45p3,54P-53UP,A,5,X,A
45p3,54P-53UP,C,5,X,A
45u8,54P-53UP,C,5,X,A
45u8,54P-53UP,C,5,X,A
45u8,54P-53UP,C,5,X,A
45u8,54P-53UP,A,5,X,W
45p8,54P-53UP,C,5,X,A
45a0,54P-53UP,A,5,,A
45a0,54P-53UP,A,5,,A
45a0,54P-53UP,C,5,,W
45a0,54P-53UP,A,5,,W
45a0,54P-53UP,A,5,,W
45a0,54P-53UP,A,5,,W
45a0,54P-53UP,A,5,,A
45a0,54P-53UP,C,5,,W
