groupID,flightRef,key,class,splitable,preferences
51j5,54P-ALLOK,A,1,,A
51j5,54P-ALLOK,A,1,,A
51j5,54P-ALLOK,A,1,,W
51j5,54P-ALLOK,A,1,,W
52o2,54P-ALLOK,C,2,X,W
52o2,54P-ALLOK,C,2,X,A
52o2,54P-ALLOK,A,2,X,A
52y0,54P-ALLOK,A,2,,A
52u0,54P-ALLOK,A,2,,W
53g9,54P-ALLOK,A,3,,A
53g9,54P-ALLOK,A,3,,A
53g9,54P-ALLOK,A,3,,A
53g9,54P-ALLOK,A,3,,A
52a8,54P-ALLOK,C,2,,A
52a8,54P-ALLOK,A,2,,A
52a8,54P-ALLOK,A,2,,A
52a8,54P-ALLOK,A,2,,A
52a8,54P-ALLOK,A,2,,A
53g9,54P-ALLOK,C,3,,A
53c6,54P-ALLOK,A,3,X,W
53c6,54P-ALLOK,C,3,X,A
53v4,54P-ALLOK,A,3,,W
53v4,54P-ALLOK,A,3,,A
53v4,54P-ALLOK,A,3,,W
54o2,54P-ALLOK,A,4,,W
54o2,54P-ALLOK,A,4,,W
54o2,54P-ALLOK,A,4,,W
54o2,54P-ALLOK,A,4,,A
54o2,54P-ALLOK,A,4,,A
55w3,54P-ALLOK,C,5,X,W
55w3,54P-ALLOK,A,5,X,W
55w3,54P-ALLOK,A,5,X,W
55w3,54P-ALLOK,C,5,X,A
55o7,54P-ALLOK,A,5,,A
55o7,54P-ALLOK,C,5,,A
55o7,54P-ALLOK,A,5,,W
55o7,54P-ALLOK,A,5,,A
55z9,54P-ALLOK,A,5,,W
55z9,54P-ALLOK,A,5,,A
55p3,54P-ALLOK,A,5,X,A
55p3,54P-ALLOK,C,5,X,A
55u8,54P-ALLOK,C,5,X,A
55u8,54P-ALLOK,C,5,X,A
55u8,54P-ALLOK,C,5,X,A
55u8,54P-ALLOK,A,5,X,W
55p8,54P-ALLOK,C,5,X,A
55a0,54P-ALLOK,A,5,,A
55a0,54P-ALLOK,A,5,,A
55a0,54P-ALLOK,C,5,,W
54a0,54P-ALLOK,A,4,,W
54a0,54P-ALLOK,A,4,,W
54a0,54P-ALLOK,A,4,,W
54a0,54P-ALLOK,A,4,,A
54a0,54P-ALLOK,C,4,,W
