groupID,flightRef,key,class,requirements,preferences
61j5,62P-ALLOK,A,1,,A
61j5,62P-ALLOK,A,1,,A
61j5,62P-ALLOK,A,1,,W
61j5,62P-ALLOK,A,1,,W
61j6,62P-ALLOK,A,1,,W
62O4,62P-ALLOK,C,2,X,W
62O4,62P-ALLOK,C,2,X,A
62O4,62P-ALLOK,A,2,X,A
62Y7,62P-ALLOK,A,2,,A
62Y7,62P-ALLOK,A,2,,W
63Z7,62P-ALLOK,A,3,,A
63Z7,62P-ALLOK,A,3,,W
62o2,62P-ALLOK,C,2,X,W
62o2,62P-ALLOK,C,2,X,A
62o2,62P-ALLOK,A,2,X,A
62y0,62P-ALLOK,A,2,,A
62u0,62P-ALLOK,A,2,,W
63g9,62P-ALLOK,A,3,,A
63g9,62P-ALLOK,A,3,,A
63g9,62P-ALLOK,A,3,,A
63g9,62P-ALLOK,A,3,,A
62a8,62P-ALLOK,C,2,,A
64a8,62P-ALLOK,A,4,,A
64a8,62P-ALLOK,A,4,,A
64a8,62P-ALLOK,A,4,,A
62a8,62P-ALLOK,A,2,,A
63g9,62P-ALLOK,C,3,,A
63c6,62P-ALLOK,A,3,X,W
63c6,62P-ALLOK,C,3,X,A
63v4,62P-ALLOK,A,3,,W
63v4,62P-ALLOK,A,3,,A
63v4,62P-ALLOK,A,3,,W
64o2,62P-ALLOK,A,4,,W
64o2,62P-ALLOK,A,4,,W
64o2,62P-ALLOK,A,4,,W
64o2,62P-ALLOK,A,4,,A
64o2,62P-ALLOK,A,4,,A
64w3,62P-ALLOK,C,4,X,W
64w3,62P-ALLOK,A,4,X,W
64w3,62P-ALLOK,A,4,X,W
64w3,62P-ALLOK,C,4,X,A
65o7,62P-ALLOK,A,5,,A
65o7,62P-ALLOK,C,5,,A
65o7,62P-ALLOK,A,5,,W
65o7,62P-ALLOK,A,5,,A
65z9,62P-ALLOK,A,5,,W
65z9,62P-ALLOK,A,5,,A
65p3,62P-ALLOK,A,5,X,A
65p3,62P-ALLOK,C,5,X,A
65u8,62P-ALLOK,C,5,X,A
65u8,62P-ALLOK,C,5,X,A
65u8,62P-ALLOK,C,5,X,A
65u8,62P-ALLOK,A,5,X,W
65p8,62P-ALLOK,C,5,X,A
65a0,62P-ALLOK,A,5,,A
65a0,62P-ALLOK,A,5,,A
65a0,62P-ALLOK,C,5,,W
65a0,62P-ALLOK,A,5,,W
65c0,62P-ALLOK,A,5,,W
65c0,62P-ALLOK,A,5,,W
65c0,62P-ALLOK,A,5,,A
65c0,62P-ALLOK,C,5,,W
