groupID,flightRef,key,class,requirements,preferences
71o1,63P-TOOMANY,A,1,,A
71j5,63P-TOOMANY,A,1,,A
71j5,63P-TOOMANY,A,1,,A
71j5,63P-TOOMANY,A,1,,W
71j5,63P-TOOMANY,A,1,,W
71j6,63P-TOOMANY,A,1,,W
72O4,63P-TOOMANY,C,2,X,W
72O4,63P-TOOMANY,C,2,X,A
72O4,63P-TOOMANY,A,2,X,A
72Y7,63P-TOOMANY,A,2,,A
72Y7,63P-TOOMANY,A,2,,W
73Z7,63P-TOOMANY,A,3,,A
73Z7,63P-TOOMANY,A,3,,W
72o2,63P-TOOMANY,C,2,X,W
72o2,63P-TOOMANY,C,2,X,A
72o2,63P-TOOMANY,A,2,X,A
72y0,63P-TOOMANY,A,2,,A
72u0,63P-TOOMANY,A,2,,W
73g9,63P-TOOMANY,A,3,,A
73g9,63P-TOOMANY,A,3,,A
73g9,63P-TOOMANY,A,3,,A
73g9,63P-TOOMANY,A,3,,A
72a8,63P-TOOMANY,C,2,,A
74a8,63P-TOOMANY,A,4,,A
74a8,63P-TOOMANY,A,4,,A
74a8,63P-TOOMANY,A,4,,A
72a8,63P-TOOMANY,A,2,,A
73g9,63P-TOOMANY,C,3,,A
73c6,63P-TOOMANY,A,3,X,W
73c6,63P-TOOMANY,C,3,X,A
73v4,63P-TOOMANY,A,3,,W
73v4,63P-TOOMANY,A,3,,A
73v4,63P-TOOMANY,A,3,,W
74o2,63P-TOOMANY,A,4,,W
74o2,63P-TOOMANY,A,4,,W
74o2,63P-TOOMANY,A,4,,W
74o2,63P-TOOMANY,A,4,,A
74o2,63P-TOOMANY,A,4,,A
74w3,63P-TOOMANY,C,4,X,W
74w3,63P-TOOMANY,A,4,X,W
74w3,63P-TOOMANY,A,4,X,W
74w3,63P-TOOMANY,C,4,X,A
75o7,63P-TOOMANY,A,5,,A
75o7,63P-TOOMANY,C,5,,A
75o7,63P-TOOMANY,A,5,,W
75o7,63P-TOOMANY,A,5,,A
75z9,63P-TOOMANY,A,5,,W
75z9,63P-TOOMANY,A,5,,A
75p3,63P-TOOMANY,A,5,X,A
75p3,63P-TOOMANY,C,5,X,A
75u8,63P-TOOMANY,C,5,X,A
75u8,63P-TOOMANY,C,5,X,A
75u8,63P-TOOMANY,C,5,X,A
75u8,63P-TOOMANY,A,5,X,W
75p8,63P-TOOMANY,C,5,X,A
75a0,63P-TOOMANY,A,5,,A
75a0,63P-TOOMANY,A,5,,A
75a0,63P-TOOMANY,C,5,,W
75a0,63P-TOOMANY,A,5,,W
75c0,63P-TOOMANY,A,5,,W
75c0,63P-TOOMANY,A,5,,W
75c0,63P-TOOMANY,A,5,,A
75c0,63P-TOOMANY,C,5,,W
