groupID,flightRef,key,class,requirements,preferences
1j5,EMB-54P-12Downgrade,A,1,,A
1j5,EMB-54P-12Downgrade,A,1,,A
1j5,EMB-54P-12Downgrade,A,1,,W
1j5,EMB-54P-12Downgrade,A,1,,W
2o2,EMB-54P-12Downgrade,C,2,X,W
2o2,EMB-54P-12Downgrade,C,2,X,A
2o2,EMB-54P-12Downgrade,A,2,X,A
2y0,EMB-54P-12Downgrade,A,2,,A
2u0,EMB-54P-12Downgrade,A,2,,W
3g9,EMB-54P-12Downgrade,A,3,,A
3g9,EMB-54P-12Downgrade,A,3,,A
3g9,EMB-54P-12Downgrade,A,3,,A
3g9,EMB-54P-12Downgrade,A,3,,A
2a8,EMB-54P-12Downgrade,C,2,,A
2a8,EMB-54P-12Downgrade,A,2,,A
2a8,EMB-54P-12Downgrade,A,2,,A
2a8,EMB-54P-12Downgrade,A,2,,A
2a8,EMB-54P-12Downgrade,A,2,,A
3g9,EMB-54P-12Downgrade,C,3,,A
3c6,EMB-54P-12Downgrade,A,3,X,W
3c6,EMB-54P-12Downgrade,C,3,X,A
3v4,EMB-54P-12Downgrade,A,3,,W
3v4,EMB-54P-12Downgrade,A,3,,A
3v4,EMB-54P-12Downgrade,A,3,,W
2o2,EMB-54P-12Downgrade,A,2,,W
2o2,EMB-54P-12Downgrade,A,2,,W
2o2,EMB-54P-12Downgrade,A,2,,W
2o2,EMB-54P-12Downgrade,A,2,,A
2o2,EMB-54P-12Downgrade,A,2,,A
5w3,EMB-54P-12Downgrade,C,5,X,W
5w3,EMB-54P-12Downgrade,A,5,X,W
5w3,EMB-54P-12Downgrade,A,5,X,W
5w3,EMB-54P-12Downgrade,C,5,X,A
5o7,EMB-54P-12Downgrade,A,5,,A
5o7,EMB-54P-12Downgrade,C,5,,A
5o7,EMB-54P-12Downgrade,A,5,,W
5o7,EMB-54P-12Downgrade,A,5,,A
5z9,EMB-54P-12Downgrade,A,5,,W
5z9,EMB-54P-12Downgrade,A,5,,A
5p3,EMB-54P-12Downgrade,A,5,X,A
5p3,EMB-54P-12Downgrade,C,5,X,A
5u8,EMB-54P-12Downgrade,C,5,X,A
5u8,EMB-54P-12Downgrade,C,5,X,A
5u8,EMB-54P-12Downgrade,C,5,X,A
5u8,EMB-54P-12Downgrade,A,5,X,W
5p8,EMB-54P-12Downgrade,C,5,X,A
5a0,EMB-54P-12Downgrade,A,5,,A
5a0,EMB-54P-12Downgrade,A,5,,A
5a0,EMB-54P-12Downgrade,C,5,,W
1a0,EMB-54P-12Downgrade,A,1,,W
1a0,EMB-54P-12Downgrade,A,1,,W
1a0,EMB-54P-12Downgrade,A,1,,W
1a0,EMB-54P-12Downgrade,A,1,,A
1a0,EMB-54P-12Downgrade,C,1,,W
